,label,area,mean_intensity,weighted_centroid-0,weighted_centroid-1,target_intensity,target_log_intensity,SBR,size_fraction,expressed,normalized_target_log_intensity
637,638,298.0,614.1912751677852,895.7904922170803,1088.3126662987831,882.1912751677852,6.782408897764515,1.252795412709396,0.2214765100671141,True,0.0970044172705884
669,670,350.0,1838.2485714285715,935.9640387511715,578.2280897811115,23133.665714285715,10.049044225776264,3.404848964231325,0.7885714285714286,True,0.6253584930064489
681,682,136.0,518.0661764705883,948.286359055878,927.8739514881418,872.5441176470588,6.771413217436697,1.2396907648401523,0.17647058823529413,True,0.09522594739766643
683,684,171.0,519.8538011695906,949.4837842398335,1268.6584172338153,1062.4269005847952,6.968311098982177,1.5133242507011875,0.52046783625731,True,0.12707272176094708
687,688,131.0,487.89312977099235,952.9357574240386,1555.4177957880902,2183.7862595419847,7.688815465565476,2.2581525561041054,0.9847328244274809,True,0.24360896791165332
701,702,94.0,491.5744680851064,976.2303280817174,952.2770083102494,803.3085106382979,6.6887388377188115,1.3332752998144244,0.10638297872340426,True,0.08185397866019928
709,710,84.0,482.9166666666667,989.5770491803279,1482.227831874769,1320.8095238095239,7.1860001032170535,1.761228357132251,0.8095238095238095,True,0.16228230626647666
711,712,262.0,537.7328244274809,996.1332211859234,1690.6699955992788,42031.83969465649,10.646182698029975,4.7439745582460535,0.8320610687022901,True,0.7219412192411412
715,716,126.0,488.27777777777777,997.489426718463,1124.228467402435,1110.9444444444443,7.012965783388838,1.5864114321047917,0.6507936507936508,True,0.1342952863076048
717,718,191.0,514.8376963350786,1001.1909919254784,1501.8671466634125,1131.8324607329844,7.031593244923564,1.4782493652766184,0.46596858638743455,True,0.13730814027942428
739,740,223.0,652.3721973094171,1037.1449693770235,1126.0716323318143,4742.08071748879,8.464231288304351,2.9317560767613866,0.7937219730941704,True,0.3690267354907244
742,743,103.0,490.0388349514563,1036.7893767088005,806.4576613702104,959.1165048543689,6.866012553275619,1.539635244641091,0.5145631067961165,True,0.1105266894865673
754,755,16.0,500.5,1057.5062437562437,1490.5162337662337,1362.6875,7.217214131748267,2.107246259931047,1.0,True,0.16733094424978034
764,765,16.0,500.3125,1075.5407870081199,1213.5029356652092,2367.4375,7.769563425556543,2.944063328735579,1.0,True,0.25666935252293577
781,782,69.0,481.5217391304348,1109.9883220466515,826.9439879608728,936.5942028985507,6.842250107213471,1.4625285965090997,0.2463768115942029,True,0.1066832897906389
792,793,113.0,474.23893805309734,1122.3453134038703,604.0227472055832,1956.58407079646,7.5789554107229185,2.2852155030916315,0.9646017699115044,True,0.2258399175254997
794,795,86.0,476.98837209302326,1124.3762706906218,994.678603642037,1063.8023255813953,6.96960486841355,1.6010365383835636,0.6744186046511628,True,0.12728197938645147
796,797,117.0,487.6666666666667,1129.0467427309532,1273.4494978705504,947.7521367521367,6.854093008946408,1.355390312236942,0.23931623931623933,True,0.10859879145238849
797,798,170.0,483.7,1132.625655182478,626.5404176142237,874.8588235294118,6.774062528802369,1.2645116689861085,0.06470588235294118,True,0.09565445389361438
799,800,288.0,944.9722222222222,1141.4796584261735,1048.3498780093478,8553.892361111111,9.054141705250949,2.570398463859375,0.7291666666666666,True,0.4644403773013277
801,802,172.0,498.7325581395349,1144.9978666853185,1247.7550418502717,816.7674418604652,6.705354405454219,1.3150613498021089,0.31976744186046513,True,0.08454142370751994
807,808,72.0,483.77777777777777,1155.5097611391823,1534.4518833256775,909.5416666666666,6.812940809626417,1.488098959560662,0.3888888888888889,True,0.10194272793352432
810,811,238.0,672.1176470588235,1163.0374834337726,1467.8932447300642,5040.844537815126,8.52532891405444,3.266476504327125,0.8067226890756303,True,0.378908824044053
860,861,170.0,496.4294117647059,1278.0348251632245,1165.2488002559453,982.2058823529412,6.889800942543575,1.4898719899174462,0.5294117647058824,True,0.11437428530393268
17,18,67.0,469.65671641791045,33.077382654844754,1246.0593955572504,1010.1492537313433,6.917853374889138,1.5996985426237256,0.9850746268656716,True,0.13227320759950545
19,20,149.0,476.6040268456376,38.213324133269495,738.3258089954094,711.5369127516778,6.567427296369248,1.2167396553095815,0.46308724832214765,True,0.07491754559711561
20,21,28.0,502.82142857142856,36.683358193053486,406.987925278784,687.3571428571429,6.532854015741142,1.2343131552326276,0.07142857142857142,True,0.06925879609309771
28,29,155.0,476.94193548387096,53.00639829018208,919.4607851094338,1097.651612903226,7.000928279283716,1.1707866544237957,0.2903225806451613,True,0.14587041519735777
34,35,85.0,504.2823529411765,72.10787607316163,393.01633072041807,1023.3529411764706,6.930839712488334,1.490868032070503,0.9647058823529412,True,0.1343987343101154
41,42,80.0,478.4625,86.05734514199128,771.3954071635708,1116.7375,7.018166766975046,1.792284629176836,1.0,True,0.14869190861369352
43,44,103.0,484.29126213592235,90.78190529649974,149.070646726274,1330.8640776699028,7.193583692722088,1.9638913779197522,1.0,True,0.17740311054575675
45,46,49.0,484.6938775510204,92.9373894736842,250.57755789473686,597.1020408163265,6.392088021427405,1.1128122860752174,0.16326530612244897,True,0.04621905308826668
50,51,183.0,518.0218579234972,105.76424608114095,504.14353678347646,1047.4590163934427,6.954122525869493,1.582465664493446,0.7814207650273224,True,0.1382095271038335
